Partlist exported from C:/Users/Ben/Documents/Dropbox/Documents/UMD/R@M/RAM Tran Electronics_2016/qubo_electronics.git/Project QUBO/eagleDesigns/backplane/version2/backplane_v4.sch at Tue, 2/7/2017 3:39 PM

Part             Value                     Device                    Package             Description                                                                               MF MPN     OC_FARNELL OC_NEWARK
2PIN_1           CPU_USB_HUB               KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_2           CPU_USB_AHRS              KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_3           CPU_USB_IMU               KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_4           Magnetic Reed Switch plug KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_5           CPU_USB_DVL               KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_6           CPU_I2C_1                 KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
2PIN_7           CPU_CAN                   KK254_VERT_2PIN22-29-2021 KK254_VERT_2PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 2 Circuits, Gold (Au) Plating                                
4PIN_1           CPU_RS232_MCU             KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_2           CPU_RS232_Flex            KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_3           CPU_PWR1                  KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_4           CPU_PWR2                  KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_5           CPU_GND1                  KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_6           CPU_GND2                  KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
4PIN_7           CPU_SPI                   KK254_VERT_4PIN22-29-2041 KK254_VERT_4PIN     KK® 254 Wire-to-Board Header, Vertical, with Friction Lock, 4 Circuits, Gold (Au) Plating                                
R28              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R29              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R30              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R31              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R32              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R33              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R34              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R35              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R36              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R37              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R38              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R39              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R40              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R41              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R42              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R43              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R44              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R45              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R46              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R47              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R48              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R49              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R50              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R51              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R52              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R53              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R54              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R55              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R56              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R57              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R58              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R59              27                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R60              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R61              50k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R62              5k                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R63              5k                        R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R64              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R65              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
R66              15k                       R-US_R0805                R0805               RESISTOR, American symbol                                                                                                
U$1              24MHz                     DCS6XXX                   4-CDFN_3.2X2.5MM    Microchip DSC6XXX Oscillator                                                                                             
U$2              PRTR5V0U2X                PRTR5V0U2X                SOT143B             NXP PRTR5V0U2X                                                                                                           
